ingredients,dish
aloo butter ghee ginger gobi turmeric,aloo_gobi
aloo ginger matar oil onion turmeric,aloo_matar
besan bhindi coriander ginger tomato,bhindi_masala
aloo chili ginger kasuri_methi palak,aloo_palak
coriander ginger gobi wheat_flour,gobi_paratha
cumin garam_masala lauki tomato,lauki_sabzi
amchur baingan garam_masala tomato,baingan_bharta
butter ginger kasuri_methi oil palak paneer,palak_paneer
chili curry_leaves oil rice urad_dal,idli
coriander garam_masala onion paneer tomato,paneer_butter_masala
cream ginger paneer tomato turmeric,paneer_tikka_masala
cumin ghee ginger matar paneer tomato turmeric,matar_paneer
chicken kasuri_methi oil onion,chicken_curry
butter garlic mushroom onion turmeric,mushroom_masala
butter cashew chicken cumin ginger tomato turmeric,butter_chicken
chicken cream cumin tomato,chicken_tikka_masala
asafoetida besan lemon sugar turmeric yogurt,dhokla
basmati_rice chicken garam_masala garlic mint rice yogurt,chicken_biryani
chili garam_masala mutton tomato,mutton_curry
basmati_rice bay_leaf mint mutton onion yogurt,mutton_biryani
garlic ghee mustard_seeds oil toor_dal,dal_tadka
chili ginger kasuri_methi rajma tomato urad_dal,dal_makhani
cumin garlic masoor_dal onion tomato turmeric,masoor_dal
chili ghee moong_dal,moong_dal
butter capsicum egg garam_masala tomato,anda_bhurji
basmati_rice cumin garlic oil,vegetable_pulao
basmati_rice chicken cumin ghee yogurt,chicken_pulao
cumin moong_dal oil rice,khichdi
egg garlic ginger pepper rice soy_sauce,egg_fried_rice
beans carrot corn garlic peas turmeric,mixed_vegetable
aloo garlic ginger spinach turmeric,saag_aloo
egg oil turmeric,egg_curry
chili mustard_seeds oil peanut poha potato,poha
asafoetida cashew ghee mustard_seeds onion semolina,upma
chickpea cumin garlic maida,chole_bhature
chili egg onion,omelette
ginger maggi_noodles masala onion pepper,maggi
aloo bread butter coriander cumin onion,aloo_sandwich
bread butter chaat_masala cheese chili cucumber,vegetable_sandwich
aloo amchur maida onion,samosa
butter garam_masala ghee ginger paneer wheat_flour,paneer_paratha
ajwain besan onion turmeric,pakora
mustard_seeds oil rice urad_dal,dosa
butter capsicum chili cumin garlic pav potato,pav_bhaji
aloo besan chili curry_leaves ginger pav,vada_pav
ajwain aloo butter chili ghee onion wheat_flour,aloo_paratha
asafoetida coriander cumin ginger maida moong_dal oil,kachori
ajwain butter methi oil turmeric wheat_flour yogurt,methi_paratha
besan curry_leaves fenugreek_seeds ginger yogurt,kadhi_pakora
almond cardamom ghee semolina sugar,halwa
almond cardamom cashew milk raisin rice sugar,kheer
cardamom ghee khoya maida sugar,gulab_jamun
chana_masala_powder chickpea coriander ginger onion,chana_masala
boondi chaat_masala cumin yogurt,raita
cumin garam_masala garlic oil onion toor_dal,dal_fry
chili fish ginger mustard_seeds oil onion,fish_curry
cumin garam_masala ginger prawn,prawn_masala
aloo amchur besan chaat_masala oil onion,aloo_tikki
chicken cumin garam_masala garlic onion,korma
cashew cream garlic paneer saffron yogurt,shahi_paneer
aloo bhindi coriander ginger,aloo_bhindi
cumin ghee moong_dal oil,tarka_dal
butter cream cumin onion tomato,tomato_soup
coriander cumin ginger paneer,paneer_bhurji
aloo coriander garlic methi onion,aloo_methi
basmati_rice garam_masala ginger mint saffron yogurt,vegetable_biryani
aloo asafoetida ginger mustard_seeds oil yogurt,dahi_aloo
garlic green_chilli oil onion potato,aloo_fry
green_chilli oil potato tomato turmeric,aloo_fry
green_chilli mustard_oil oil onion potato turmeric,aloo_fry
ginger green_chilli oil potato,aloo_fry
butter oil potato turmeric,aloo_fry
oil potato salt,aloo_fry
cumin garlic oil potato spices turmeric,aloo_fry
butter green_chilli oil potato,aloo_fry
